SUBJECT_NAME,TRIAL_INDEX,SECOND_DISPLAY,BLOCK,CONDITION,CONDITION_APPEARANCE,SUBJECT_GROUP,SUBJECT_AGE,SUBJECT_GENDER,CENTER_FIXATION_LATENCY_REL_FIXATION_ONSET_MEDIAN,CENTER_FIXATION_DISTANCE_TO_CENTER_DEG_MEDIAN,CENTER_FIXATION_ACCEPTED,LATENCY_FIRST_SACCADE,TRIAL_SUCCESSFUL,FIXATION_OFFSET_TO_TARGET,LATENCY_CORRECTED_SACCADE,AMPLITUDE_CORRECTED_SACCADE,LATENCY_FIRST_WRONG_SACCADE,AMPLITUDE_FIRST_WRONG_SACCADE,LATENCY_CORRECT_SACCADE,AMPLITUDE_CORRECT_SACCADE,DISPLAY_1_WAS_SUCCESSFUL
AW001CG,1,0,1,1,DN,YNG,19.0,f,4.0,7.4265882001630095,0.0,186.0,1.0,10.32953038714108,,,,,186.0,16.518867515554977,
AW001CG,2,0,1,1,DN,YNG,19.0,f,24.0,0.20289649080109892,1.0,224.0,1.0,20.799076792974724,,,,,224.0,26.40049679200702,
AW001CG,3,0,1,1,DD,YNG,19.0,f,137.0,0.8868628440227042,1.0,194.0,1.0,14.244591638970338,,,,,194.0,20.493577586061736,
AW001CG,4,0,1,1,DN,YNG,19.0,f,154.0,0.14981114570565107,1.0,196.0,1.0,24.219841315994184,,,,,196.0,29.556755798199625,
AW001CG,5,0,2,1,DD,YNG,19.0,f,224.0,1.6354928372813557,1.0,236.0,1.0,8.090405257776577,,,,,236.0,14.57133275600428,
AW001CG,6,0,2,1,DN,YNG,19.0,f,150.0,3.372107694010501,1.0,218.0,1.0,7.5527835207912535,,,,,218.0,14.231086898805225,
AW001CG,7,0,2,1,DN,YNG,19.0,f,358.0,1.3124887768261573,1.0,82.0,1.0,14.306566391671113,212.0,26.989311481388352,82.0,7.287307400188199,,,
AW001CG,8,0,2,1,DN,YNG,19.0,f,98.0,1.4225496746975592,1.0,218.0,1.0,3.171213533052981,,,,,218.0,10.501671521267365,
AW001CG,9,0,2,1,DD,YNG,19.0,f,166.0,1.8278032921914318,1.0,192.0,1.0,16.892977350306715,,,,,192.0,23.774052492348535,
AW001CG,10,0,2,1,DN,YNG,19.0,f,42.0,1.2079735418022777,1.0,212.0,1.0,14.034600998798965,,,,,212.0,20.136145258676883,
AW001CG,11,0,2,1,DD,YNG,19.0,f,192.0,3.8858765578725856,1.0,202.0,1.0,21.945972744674417,,,,,202.0,27.260752124495568,
AW001CG,12,0,2,1,DN,YNG,19.0,f,372.0,0.8550396597775901,1.0,194.0,1.0,13.754582210021576,,,,,194.0,20.358699911613076,
AW001CG,13,0,2,1,DD,YNG,19.0,f,172.0,0.7075699363679422,1.0,150.0,1.0,10.914810391645807,,,,,150.0,17.500678875433238,
AW001CG,14,0,2,1,DN,YNG,19.0,f,231.0,2.3833983992864907,1.0,252.0,1.0,22.242784920117302,,,,,252.0,27.382826126768677,
AW001CG,15,0,2,1,DD,YNG,19.0,f,316.0,0.6269102191198832,1.0,194.0,1.0,22.934196387313495,,,,,194.0,28.397040947906994,
AW001CG,16,0,2,1,DN,YNG,19.0,f,280.0,1.0183237553123352,1.0,168.0,1.0,22.212282828020207,,,,,168.0,31.368805820279825,
AW001CG,17,0,2,1,DN,YNG,19.0,f,24.0,3.664749951735962,1.0,250.0,1.0,14.997496412536362,,,,,250.0,20.47654638403275,
AW001CG,18,0,2,1,DN,YNG,19.0,f,40.0,1.0448301039185899,1.0,232.0,1.0,12.90191283441235,,,,,232.0,19.788972369174413,
AW001CG,19,0,2,1,DN,YNG,19.0,f,223.0,1.8393996439033415,1.0,164.0,1.0,14.474666374883459,,,,,164.0,22.696951791246867,
AW001CG,20,0,2,1,DD,YNG,19.0,f,137.0,1.4554289293379965,1.0,194.0,1.0,25.77870102441696,,,,,194.0,25.52732447124056,
AW001CG,21,0,2,1,DN,YNG,19.0,f,6.0,0.9976742407642168,1.0,158.0,1.0,33.659565215647596,,,,,158.0,38.53209654439528,
AW001CG,22,0,2,1,DD,YNG,19.0,f,148.0,3.7616894251107267,1.0,232.0,1.0,32.93466382236607,,,,,232.0,37.837556413963824,
AW001CG,23,0,2,1,DN,YNG,19.0,f,122.0,4.485463890347358,1.0,206.0,1.0,27.332665784419742,,,,,206.0,31.99606126313338,
AW001CG,24,0,2,1,DD,YNG,19.0,f,304.0,1.8327895499624345,1.0,158.0,1.0,33.05719011725265,,,,,158.0,37.135849230931406,
AW001CG,25,0,2,1,DN,YNG,19.0,f,130.0,1.5858287248500589,1.0,190.0,1.0,41.629694690111464,,,,,190.0,47.32607212699115,
AW001CG,26,0,2,1,DD,YNG,19.0,f,152.0,2.79186051836776,1.0,204.0,1.0,37.93675237169583,,,,,204.0,42.58219427410213,
AW001CG,27,0,2,1,DN,YNG,19.0,f,170.0,2.037301196852231,1.0,152.0,1.0,29.295037493862637,,,,,152.0,33.90440223399434,
AW001CG,28,0,2,1,DN,YNG,19.0,f,311.0,3.6230722601949323,1.0,160.0,1.0,40.861420438131034,,,,,160.0,46.6691659001765,
AW002AF,1,0,1,1,DN,YNG,19.0,m,532.0,1.0004838360787531,1.0,150.0,1.0,16.105154458176862,670.0,27.140428781175526,150.0,6.432762982413876,,,
AW002AF,2,0,1,1,DD,YNG,19.0,m,82.0,2.9755808836546707,1.0,144.0,1.0,33.724960511664214,248.0,39.57397106493439,144.0,4.29088411592488,,,
AW002AF,3,0,1,1,DN,YNG,19.0,m,105.0,3.0919891295508726,1.0,398.0,1.0,3.542721494240406,,,,,398.0,4.614172341912951,
AW002AF,4,0,1,1,DD,YNG,19.0,m,165.0,2.13730010993118,1.0,284.0,1.0,9.809441885803635,,,,,284.0,16.24617516160376,
AW002AF,5,0,2,1,DN,YNG,19.0,m,166.0,2.664776128169692,1.0,386.0,1.0,4.385706418843557,,,,,386.0,3.403275404766981,
AW002AF,6,0,2,1,DN,YNG,19.0,m,140.0,3.114763444025844,1.0,392.0,1.0,2.723768862188924,,,,,392.0,4.859285390619627,
AW002AF,7,0,2,1,DD,YNG,19.0,m,138.0,2.4278342730779228,1.0,468.0,1.0,1.624044826821886,,,,,468.0,7.2279318069525385,
AW002AF,8,0,2,1,DN,YNG,19.0,m,112.0,2.709859104302806,1.0,264.0,1.0,5.934873232745459,,,,,264.0,13.12483729899574,
AW002AF,9,0,2,1,DN,YNG,19.0,m,90.0,1.4187171089570414,1.0,408.0,1.0,2.084522830791047,,,,,408.0,5.909886582806415,
AW002AF,10,0,2,1,DN,YNG,19.0,m,-38.0,1.5863282306465472,1.0,446.0,1.0,2.459729013337423,,,,,446.0,3.7657928211407996,
AW002AF,11,0,2,1,DD,YNG,19.0,m,131.0,3.6562185558072553,1.0,256.0,1.0,3.5359989253769575,,,,,256.0,9.030747763533208,
AW002AF,12,0,2,1,DN,YNG,19.0,m,100.0,3.559745712080084,1.0,364.0,1.0,3.2966274571578733,,,,,364.0,3.8810526456864443,
AW002AF,13,0,2,1,DD,YNG,19.0,m,128.0,2.9893554267964566,1.0,368.0,1.0,1.0520155740925443,,,,,368.0,7.684666235705311,
AW002AF,14,0,2,1,DN,YNG,19.0,m,334.0,1.5365731352600678,1.0,288.0,1.0,1.494497332658249,,,,,288.0,5.758189181998068,
AW002AF,15,0,2,1,DN,YNG,19.0,m,346.0,1.2794277213129528,1.0,394.0,1.0,1.125960565670336,,,,,394.0,6.495946952867491,
AW002AF,16,0,2,1,DN,YNG,19.0,m,114.0,1.3983666348087076,1.0,146.0,1.0,0.3925249821148016,624.0,3.8212257692679996,146.0,4.837595249518858,,,
AW002AF,17,0,2,1,DN,YNG,19.0,m,132.0,2.5892376466039178,1.0,194.0,1.0,1.209865333005788,488.0,11.795072699581437,194.0,6.066208294762273,,,
AW002AF,18,0,2,1,DN,YNG,19.0,m,155.0,3.302436278722367,1.0,330.0,1.0,1.7964582718771187,,,,,330.0,4.533501567491765,
AW002AF,19,0,2,1,DD,YNG,19.0,m,141.0,1.9861052764008686,1.0,288.0,1.0,2.0780303464828807,,,,,288.0,7.104222843878929,
AW002AF,20,0,2,1,DN,YNG,19.0,m,182.0,2.724223736166873,1.0,364.0,1.0,2.601302446048161,,,,,364.0,8.485251767763371,
AW002AF,21,0,2,1,DD,YNG,19.0,m,142.0,2.100374132514364,1.0,358.0,1.0,0.7393737102036898,,,,,358.0,6.794240023881726,
AW002AF,22,0,2,1,DN,YNG,19.0,m,234.0,1.4736320813950017,1.0,144.0,1.0,1.3977661287706415,300.0,11.863450912288613,144.0,6.3659652426263,,,
AW002AF,23,0,2,1,DD,YNG,19.0,m,127.0,2.381813716070023,1.0,270.0,1.0,1.9688922788054595,,,,,270.0,7.177149701343554,
AW002AF,24,0,2,1,DN,YNG,19.0,m,478.0,2.854096102420735,1.0,326.0,1.0,1.6907038084731703,,,,,326.0,6.717156554763018,
AW002AF,25,0,2,1,DD,YNG,19.0,m,210.0,1.9465241487381322,1.0,342.0,1.0,0.85825199625713,,,,,342.0,6.5922693557807435,
AW002AF,26,0,2,1,DN,YNG,19.0,m,118.0,1.53995752297606,1.0,238.0,1.0,1.2712303368626066,,,,,238.0,8.818369579244942,
AW002AF,27,0,2,1,DN,YNG,19.0,m,112.0,2.329982404715713,1.0,284.0,1.0,0.4322569430273704,,,,,284.0,5.926543205389322,
AW002AF,28,0,2,1,DN,YNG,19.0,m,338.0,1.2305561505597402,1.0,152.0,1.0,0.7034278587556264,370.0,12.218218283345747,152.0,5.173509889538766,,,
CP001CTA,1,0,1,1,DN,OLD,65.0,f,248.0,1.0576595070922141,1.0,274.0,1.0,23.825405426404227,,,,,274.0,28.81736766797497,
CP001CTA,2,0,1,1,DN,OLD,65.0,f,250.0,1.8880780471357999,1.0,260.0,1.0,9.1618412651976,,,,,260.0,15.425447166112457,
CP001CTA,3,0,1,1,DN,OLD,65.0,f,-52.0,1.072848722074977,1.0,240.0,1.0,8.140537289200186,,,,,240.0,14.396882879116239,
CP001CTA,4,0,1,1,DN,OLD,65.0,f,304.0,3.178275958773623,1.0,350.0,1.0,3.4820930479080383,,,,,350.0,10.031752703959432,
CP001CTA,5,0,2,1,DD,OLD,65.0,f,300.0,2.8818653770732015,1.0,362.0,1.0,2.4302205903079748,,,,,362.0,4.4369542191742415,
CP001CTA,6,0,2,1,DD,OLD,65.0,f,284.0,3.2540371190387645,1.0,248.0,1.0,2.9128727889125696,,,,,248.0,8.242671070551578,
CP001CTA,7,0,2,1,DN,OLD,65.0,f,246.0,1.5489260525763209,1.0,282.0,1.0,2.6596402934712375,,,,,282.0,8.673114133698554,
CP001CTA,8,0,2,1,DD,OLD,65.0,f,388.0,1.928783284039977,1.0,240.0,1.0,3.302245886270698,,,,,240.0,9.296446165979729,
CP001CTA,9,0,2,1,DN,OLD,65.0,f,131.0,2.690527841890892,1.0,336.0,1.0,2.2368024315138317,,,,,336.0,5.408633678948079,
CP001CTA,10,0,2,1,DN,OLD,65.0,f,218.0,2.1098394521135133,1.0,264.0,1.0,2.9227637112008846,,,,,264.0,7.768353567203054,
CP001CTA,11,0,2,1,DD,OLD,65.0,f,114.0,5.79728243907099,0.0,260.0,1.0,4.2059027528109345,,,,,260.0,9.778060504386767,
CP001CTA,12,0,2,1,DN,OLD,65.0,f,134.0,2.1327456215275182,1.0,344.0,1.0,2.1449807606647355,,,,,344.0,5.538163465602992,
CP001CTA,13,0,2,1,DD,OLD,65.0,f,-50.0,1.5195966409883404,1.0,286.0,1.0,3.0929579659828934,,,,,286.0,5.722855958207618,
CP001CTA,14,0,2,1,DN,OLD,65.0,f,502.0,2.0422739976556654,1.0,268.0,1.0,2.984612016764854,,,,,268.0,8.296439897350718,
CP001CTA,15,0,2,1,DN,OLD,65.0,f,106.0,2.832071246020145,1.0,326.0,1.0,2.062916394392209,,,,,326.0,6.630473271348049,
CP001CTA,16,0,2,1,DN,OLD,65.0,f,-42.0,1.9633095609527065,1.0,210.0,1.0,3.959212044879767,,,,,210.0,9.939933842036488,
CP001CTA,17,0,2,1,DN,OLD,65.0,f,143.0,3.3513088395490636,1.0,418.0,1.0,1.849994051105264,,,,,418.0,6.037196458838274,
CP001CTA,18,0,2,1,DD,OLD,65.0,f,288.0,1.6496000454384148,1.0,358.0,1.0,2.4461427121208628,,,,,358.0,7.869482204610301,
CP001CTA,19,0,2,1,DN,OLD,65.0,f,161.0,2.962800172553882,1.0,276.0,1.0,1.3799369195970452,,,,,276.0,6.400858135956353,
CP001CTA,20,0,2,1,DN,OLD,65.0,f,164.0,2.123382045670083,1.0,236.0,1.0,7.767446587175322,380.0,19.001667465188962,236.0,6.787149476005126,,,
CP001CTA,21,0,2,1,DD,OLD,65.0,f,128.0,4.00932271858077,1.0,446.0,1.0,2.7843251840152403,,,,,446.0,4.35928767006309,
CP001CTA,22,0,2,1,DN,OLD,65.0,f,123.0,2.4465598598238163,1.0,296.0,1.0,1.8510746926645179,,,,,296.0,6.9841075153147365,
CP001CTA,23,0,2,1,DN,OLD,65.0,f,314.0,3.0230660094323567,1.0,408.0,1.0,2.3135625968461366,,,,,408.0,6.443009038647074,
CP001CTA,24,0,2,1,DN,OLD,65.0,f,197.0,1.7149979801665145,1.0,308.0,1.0,2.0385454533095624,,,,,308.0,6.034540463985532,
CP001CTA,25,0,2,1,DD,OLD,65.0,f,350.0,1.8580779224854584,1.0,268.0,1.0,3.6313022355941205,,,,,268.0,8.945029345516659,
CP001CTA,26,0,2,1,DN,OLD,65.0,f,-56.0,1.7902514357693107,1.0,382.0,1.0,3.157013055523057,,,,,382.0,4.168654520635234,
CP001CTA,27,0,2,1,DN,OLD,65.0,f,-46.0,1.840385301387144,1.0,274.0,1.0,1.4861454927947932,,,,,274.0,5.993516757710169,
CP001CTA,28,0,2,1,DD,OLD,65.0,f,144.0,1.8354951650700408,1.0,260.0,1.0,1.2002357935340984,,,,,260.0,8.008734221943712,
