SUBJECT_NAME,TRIAL_INDEX,SECOND_DISPLAY,BLOCK,CONDITION,CONDITION_APPEARANCE,SUBJECT_GROUP,SUBJECT_AGE,SUBJECT_GENDER,CENTER_FIXATION_LATENCY_REL_FIXATION_ONSET_MEDIAN,CENTER_FIXATION_DISTANCE_TO_CENTER_DEG_MEDIAN,CENTER_FIXATION_ACCEPTED,LATENCY_FIRST_SACCADE,TRIAL_SUCCESSFUL,FIXATION_OFFSET_TO_TARGET,LATENCY_CORRECTED_SACCADE,AMPLITUDE_CORRECTED_SACCADE,LATENCY_FIRST_WRONG_SACCADE,AMPLITUDE_FIRST_WRONG_SACCADE,LATENCY_CORRECT_SACCADE,AMPLITUDE_CORRECT_SACCADE,DISPLAY_1_WAS_SUCCESSFUL
AW001CG,1,0,1,1,TN,YNG,19.0,f,130.0,2.195828233918713,1.0,262.0,1.0,2.37094742908863,,,,,262.0,8.026988818277198,
AW001CG,2,0,1,1,TN,YNG,19.0,f,56.0,0.707913865464243,1.0,248.0,1.0,0.8003130964762077,,,,,248.0,7.93309528808649,
AW001CG,3,0,1,1,TT,YNG,19.0,f,122.0,2.9851972906012048,1.0,180.0,1.0,0.8296494687142381,,,,,180.0,6.563551040372838,
AW001CG,4,0,1,1,TN,YNG,19.0,f,106.0,1.7751671065972694,1.0,286.0,1.0,0.4042688711168533,,,,,286.0,7.011223848869888,
AW001CG,5,0,2,1,TT,YNG,19.0,f,246.0,0.8435074145029866,1.0,332.0,1.0,1.1319440798894942,,,,,332.0,7.674454011022343,
AW001CG,6,0,2,1,TT,YNG,19.0,f,-38.0,0.5394505240934907,1.0,214.0,1.0,1.1957862504266121,,,,,214.0,7.7170714127357805,
AW001CG,7,0,2,1,TN,YNG,19.0,f,113.0,0.9053227419144053,1.0,234.0,1.0,0.672506346672778,,,,,234.0,7.608406545518113,
AW001CG,8,0,2,1,TN,YNG,19.0,f,230.0,0.8704227356382236,1.0,276.0,1.0,1.3029694725923913,,,,,276.0,7.607919586265958,
AW001CG,9,0,2,1,TN,YNG,19.0,f,143.0,0.9969109696978676,1.0,188.0,1.0,0.7331769868743155,,,,,188.0,7.7238677080044695,
AW001CG,10,0,2,1,TN,YNG,19.0,f,172.0,1.8300370913216213,1.0,218.0,1.0,1.267091183620408,,,,,218.0,7.996507278232809,
AW001CG,11,0,2,1,TN,YNG,19.0,f,98.0,1.680161786181635,1.0,162.0,1.0,1.1505776989488283,,,,,162.0,7.704330928661695,
AW001CG,12,0,2,1,TT,YNG,19.0,f,106.0,1.5114813139206682,1.0,158.0,1.0,0.438184984393158,,,,,158.0,6.346037650074794,
AW001CG,13,0,2,1,TN,YNG,19.0,f,116.0,0.32466199894144265,1.0,204.0,1.0,1.2819024890101147,,,,,204.0,7.726991120421183,
AW001CG,14,0,2,1,TT,YNG,19.0,f,94.0,0.9055589596589928,1.0,212.0,1.0,1.095042829675328,,,,,212.0,7.224999890866358,
AW001CG,15,0,2,1,TN,YNG,19.0,f,114.0,0.734120594095664,1.0,256.0,1.0,0.3748612562095476,,,,,256.0,6.766147215146738,
AW001CG,16,0,2,1,TT,YNG,19.0,f,272.0,0.6491519074462251,1.0,244.0,1.0,0.5003057122226587,,,,,244.0,7.479438903100844,
AW002AF,1,0,1,1,TN,YNG,19.0,m,125.0,2.0227546394710836,1.0,182.0,1.0,1.046163178252639,,,,,182.0,6.856404087812505,
AW002AF,2,0,1,1,TN,YNG,19.0,m,565.0,1.7678402506473456,1.0,152.0,1.0,0.40872125984654867,,,,,152.0,7.276301512210164,
AW002AF,3,0,1,1,TN,YNG,19.0,m,58.0,0.5204988416538844,1.0,236.0,1.0,1.4395366181059037,,,,,236.0,7.96696051717161,
AW002AF,4,0,1,1,TN,YNG,19.0,m,622.0,0.9114017928228044,1.0,156.0,1.0,1.0004197123913592,,,,,156.0,6.5681414563288705,
AW002AF,5,0,2,1,TT,YNG,19.0,m,94.0,2.2432399108726635,1.0,150.0,1.0,0.7385400593435374,,,,,150.0,6.812654032809022,
AW002AF,6,0,2,1,TT,YNG,19.0,m,32.0,4.567570194390065,1.0,162.0,1.0,1.620689594649333,,,,,162.0,6.169140396528426,
AW002AF,7,0,2,1,TN,YNG,19.0,m,252.0,1.191857786652461,1.0,162.0,1.0,1.3116534980002663,,,,,162.0,7.61358310437045,
AW002AF,8,0,2,1,TT,YNG,19.0,m,280.0,1.053507159656336,1.0,208.0,1.0,0.4829568410890614,,,,,208.0,5.9697004644313445,
AW002AF,9,0,2,1,TN,YNG,19.0,m,240.0,1.4850972947871912,1.0,158.0,1.0,0.7693087201685304,,,,,158.0,6.575649552434778,
AW002AF,10,0,2,1,TT,YNG,19.0,m,238.0,1.8179514079143828,1.0,180.0,1.0,0.22486401175729895,,,,,180.0,8.568636122607568,
AW002AF,11,0,2,1,TN,YNG,19.0,m,52.0,1.8756627756145183,1.0,168.0,1.0,1.2117248760535895,,,,,168.0,7.557833205332079,
AW002AF,12,0,2,1,TT,YNG,19.0,m,132.0,0.9488239213889207,1.0,176.0,1.0,0.8826440648220858,,,,,176.0,7.096584725346117,
AW002AF,13,0,2,1,TN,YNG,19.0,m,132.0,1.3457521601738351,1.0,190.0,1.0,0.3750666537867024,,,,,190.0,7.403729686632283,
AW002AF,14,0,2,1,TN,YNG,19.0,m,119.0,1.0075412055691255,1.0,136.0,1.0,1.3484281100312512,,,,,136.0,4.585610909014157,
AW002AF,15,0,2,1,TT,YNG,19.0,m,6.0,1.0206570230050018,1.0,202.0,1.0,0.48011802642844115,,,,,202.0,6.369668293435064,
AW002AF,16,0,2,1,TN,YNG,19.0,m,-38.0,1.3566907640687331,1.0,228.0,1.0,1.008983031093918,,,,,228.0,7.13215729409811,
MP1,1,0,1,1,TN,YNG,,,159.0,3.559782156793713,1.0,146.0,1.0,1.7596749944365713,,,,,146.0,6.122890637362069,
MP1,2,0,1,1,TN,YNG,,,46.0,2.532470923169938,1.0,188.0,1.0,0.6663231396685856,,,,,188.0,6.2184990200195625,
MP1,3,0,1,1,TT,YNG,,,167.0,1.3241023602041246,1.0,146.0,1.0,1.6144824602290244,,,,,146.0,5.229950713401599,
MP1,4,0,1,1,TN,YNG,,,162.0,3.311701977523274,1.0,236.0,1.0,2.2458560365418316,,,,,236.0,6.98620184577858,
MP1,5,0,2,1,TT,YNG,,,284.0,2.06433238096026,1.0,210.0,1.0,2.27487839084264,,,,,210.0,6.0297000007266295,
MP1,6,0,2,1,TT,YNG,,,38.0,1.433253067881341,1.0,150.0,1.0,2.245616451842916,,,,,150.0,5.674876804688365,
MP1,7,0,2,1,TN,YNG,,,308.0,1.294777283394501,1.0,346.0,1.0,1.3302693334110658,,,,,346.0,7.155481021968647,
MP1,8,0,2,1,TT,YNG,,,114.0,3.4107280789340417,1.0,160.0,1.0,1.1189651169125525,,,,,160.0,6.020722447475599,
MP1,9,0,2,1,TN,YNG,,,114.0,2.1244966101753215,1.0,182.0,1.0,3.739876839443325,,,,,182.0,5.374932990300391,
MP1,10,0,2,1,TT,YNG,,,123.0,3.127399280523016,1.0,158.0,1.0,4.133684751481392,,,,,158.0,4.873416920673561,
MP1,11,0,2,1,TN,YNG,,,125.0,3.017164894507922,1.0,168.0,1.0,1.4602497452656402,,,,,168.0,5.509974671260153,
MP1,12,0,2,1,TT,YNG,,,114.0,4.603407694063018,1.0,204.0,0.0,,,,204.0,5.879838543737804,,,
MP1,13,0,2,1,TN,YNG,,,116.0,3.7320942953354477,1.0,284.0,1.0,1.5759567158991739,,,,,284.0,7.8448388609517785,
MP1,14,0,2,1,TT,YNG,,,108.0,3.6840177827092315,1.0,282.0,1.0,1.953049132108177,,,,,282.0,7.692716808546687,
