SUBJECT_NAME,TRIAL_INDEX,SECOND_DISPLAY,BLOCK,CONDITION,CONDITION_APPEARANCE,SUBJECT_GROUP,SUBJECT_AGE,SUBJECT_GENDER,CENTER_FIXATION_LATENCY_REL_FIXATION_ONSET_MEDIAN,CENTER_FIXATION_DISTANCE_TO_CENTER_DEG_MEDIAN,CENTER_FIXATION_ACCEPTED,LATENCY_FIRST_SACCADE,TRIAL_SUCCESSFUL,FIXATION_OFFSET_TO_TARGET,LATENCY_CORRECTED_SACCADE,AMPLITUDE_CORRECTED_SACCADE,LATENCY_FIRST_WRONG_SACCADE,AMPLITUDE_FIRST_WRONG_SACCADE,LATENCY_CORRECT_SACCADE,AMPLITUDE_CORRECT_SACCADE,DISPLAY_1_WAS_SUCCESSFUL
AW001CG,1,0,1,1,TT,YNG,19.0,f,243.0,2.409248763856815,1.0,278.0,1.0,1.2140096296353808,,,,,278.0,9.87579101008198,
AW001CG,1,1,1,1,TT,YNG,19.0,f,445.0,0.5291340342568042,1.0,170.0,1.0,0.06854401335593725,,,,,170.0,8.969994054355068,1.0
AW001CG,2,0,1,1,TD1,YNG,19.0,f,-725.0,4.754529893996141,1.0,264.0,1.0,0.3918867895228907,,,,,264.0,9.154998427209792,
AW001CG,2,1,1,1,TD1,YNG,19.0,f,335.0,0.3698317327282432,1.0,252.0,1.0,1.4502950788102722,,,,,252.0,9.577202601881023,1.0
AW001CG,3,0,1,1,TN,YNG,19.0,f,-880.0,3.4695424185000867,1.0,216.0,1.0,0.1569924335041327,,,,,216.0,9.125384055625691,
AW001CG,3,1,1,1,TN,YNG,19.0,f,458.0,0.665174339804969,1.0,216.0,1.0,1.6795987050268264,,,,,216.0,8.082557023900199,1.0
AW001CG,4,0,1,1,TN,YNG,19.0,f,-828.0,4.7541965369334305,1.0,192.0,1.0,1.5076337324367677,,,,,192.0,8.015549429046844,
AW001CG,4,1,1,1,TN,YNG,19.0,f,522.0,0.7920886974129824,1.0,150.0,1.0,0.4207452934526185,,,,,150.0,8.890997396838552,1.0
AW001CG,5,0,2,1,TT,YNG,19.0,f,362.0,1.1888511049647712,1.0,236.0,1.0,1.152332621801868,,,,,236.0,10.177861311276697,
AW001CG,5,1,2,1,TT,YNG,19.0,f,480.0,1.0759263667096164,1.0,174.0,1.0,1.0339309013500941,,,,,174.0,9.338260248444078,1.0
AW001CG,6,0,2,1,TT,YNG,19.0,f,-1066.0,3.5691229178493242,1.0,252.0,1.0,2.1397865309293773,374.0,19.25692827662161,252.0,8.748567199790447,,,
AW001CG,6,1,2,1,TT,YNG,19.0,f,363.0,0.5514372459580709,1.0,244.0,1.0,0.5234011480609121,,,,,244.0,9.612364486568687,1.0
AW001CG,7,0,2,1,TT,YNG,19.0,f,-830.0,4.12521392124192,1.0,192.0,1.0,0.20327682091172045,,,,,192.0,10.276794347945607,
AW001CG,7,1,2,1,TT,YNG,19.0,f,460.0,0.5761435373405873,1.0,150.0,1.0,0.8997505524317901,,,,,150.0,8.851940066728023,1.0
AW001CG,8,0,2,1,TT,YNG,19.0,f,-694.0,5.412294980301115,0.0,156.0,1.0,0.11920716995869414,,,,,156.0,9.794177831226516,
AW001CG,8,1,2,1,TT,YNG,19.0,f,526.0,3.2929955635196784,1.0,172.0,1.0,0.9324446537897967,,,,,172.0,3.773923131946859,1.0
AW001CG,9,0,2,1,TT,YNG,19.0,f,-872.0,4.887793481948055,1.0,172.0,1.0,1.8954678358457755,304.0,14.645137789221083,172.0,4.2722117296712385,,,
AW001CG,9,1,2,1,TT,YNG,19.0,f,483.0,2.1275473359178054,1.0,176.0,1.0,1.171052319746197,,,,,176.0,10.505954259784577,1.0
AW001CG,10,0,2,1,TT,YNG,19.0,f,-1434.0,2.035097247434162,1.0,170.0,1.0,0.9749098794523429,286.0,11.486596552023903,170.0,7.712910697465118,,,
AW001CG,10,1,2,1,TT,YNG,19.0,f,414.0,1.2935748632443684,1.0,168.0,1.0,1.7786864356757361,,,,,168.0,8.066227385501792,1.0
AW001CG,11,0,2,1,TD1,YNG,19.0,f,-706.0,4.264290702553275,1.0,220.0,1.0,0.7749681822540863,,,,,220.0,8.706808430057984,
AW001CG,11,1,2,1,TD1,YNG,19.0,f,527.0,0.6983373601411337,1.0,166.0,1.0,0.5736293235046039,,,,,166.0,9.474832838742055,1.0
AW001CG,12,0,2,1,TD1,YNG,19.0,f,-934.0,3.5363764711872827,1.0,216.0,1.0,1.4545338201977054,,,,,216.0,10.316672735560214,
AW001CG,12,1,2,1,TD1,YNG,19.0,f,218.0,0.5083084319717098,1.0,160.0,1.0,1.244195384150587,,,,,160.0,8.539923889950241,1.0
AW001CG,13,0,2,1,TD1,YNG,19.0,f,-904.0,3.5050422776951478,1.0,212.0,1.0,0.5851926540038027,328.0,13.989742536047101,212.0,9.718089145926665,,,
AW001CG,13,1,2,1,TD1,YNG,19.0,f,284.0,0.6414881187004953,1.0,166.0,1.0,0.5480897911065374,,,,,166.0,8.90758268333654,1.0
AW001CG,14,0,2,1,TD1,YNG,19.0,f,-1018.0,2.581922004440359,1.0,184.0,1.0,3.21877141949191,290.0,14.077243177902096,184.0,7.711750734417779,,,
AW001CG,14,1,2,1,TD1,YNG,19.0,f,464.0,0.5959888409425783,1.0,166.0,1.0,0.13610107096189267,,,,,166.0,9.73497386803509,1.0
AW001CG,15,0,2,1,TD1,YNG,19.0,f,-841.0,5.478782433284984,0.0,208.0,1.0,0.33949868541304845,,,,,208.0,8.863559526989976,
AW001CG,15,1,2,1,TD1,YNG,19.0,f,347.0,0.4141062210666282,1.0,192.0,1.0,1.0944099295846388,,,,,192.0,8.282370444387427,1.0
AW001CG,16,0,2,1,TD1,YNG,19.0,f,-900.0,4.405231460128046,1.0,154.0,1.0,0.5644263553909526,,,,,154.0,9.742232303085093,
AW001CG,16,1,2,1,TD1,YNG,19.0,f,410.0,0.42518510851880487,1.0,148.0,1.0,0.9831670280648743,,,,,148.0,8.588518819885696,1.0
AW001CG,17,0,2,1,TD1,YNG,19.0,f,-720.0,4.703128497149714,1.0,220.0,1.0,0.752381825506621,,,,,220.0,8.674608198966483,
AW001CG,17,1,2,1,TD1,YNG,19.0,f,290.0,0.9963223500693941,1.0,156.0,1.0,0.4024071423466841,,,,,156.0,9.205787153003824,1.0
AW001CG,18,0,2,1,TD1,YNG,19.0,f,-844.0,3.996868608016509,1.0,218.0,1.0,0.7959475154664818,,,,,218.0,9.112992767999796,
AW001CG,18,1,2,1,TD1,YNG,19.0,f,302.0,0.7529579571511422,1.0,178.0,1.0,1.035511990132632,,,,,178.0,9.13912997372871,1.0
AW001CG,19,0,2,1,TD1,YNG,19.0,f,-990.0,2.6317475375699964,1.0,196.0,1.0,0.7819664218272476,,,,,196.0,8.138174757173633,
AW001CG,19,1,2,1,TD1,YNG,19.0,f,351.0,1.2187621081515543,1.0,176.0,1.0,2.192382742669982,,,,,176.0,8.38572979838378,1.0
AW001CG,20,0,2,1,TD1,YNG,19.0,f,-1320.0,5.550991847389269,0.0,88.0,1.0,2.0605203024898113,,,,,264.0,8.781153011709383,
AW001CG,20,1,2,1,TD1,YNG,19.0,f,326.0,0.45820922762782945,1.0,154.0,1.0,0.6336230632196315,,,,,154.0,8.653556297570054,1.0
AW001CG,21,0,2,1,TD1,YNG,19.0,f,-634.0,5.066256434249931,0.0,214.0,1.0,1.1415940129695568,,,,,214.0,8.895343297296506,
AW001CG,21,1,2,1,TD1,YNG,19.0,f,396.0,0.10599598295039858,1.0,160.0,1.0,0.635564676402783,,,,,160.0,9.052266378133305,1.0
AW001CG,22,0,2,1,TD1,YNG,19.0,f,-427.0,4.997982462847651,0.0,150.0,1.0,0.29481648772772395,,,,,150.0,8.569724313014788,
